t,ax,ay,az,temp,P,hum,roll,pitch,yaw,gx,gy,gz,cx,cy,cz
2269.093341,0.235899866,-0.161380127,-0.331173271,10.95337391,1020.534668,27.0564537,251.8031031,326.3045048,143.5471625,-0.298101753,-0.537749648,0.163366437,-3.201826096,-58.65838623,-47.1219101
2269.216513,0.322695494,-0.822821498,-0.350455582,10.95337391,1020.526123,27.15578461,250.6214326,329.5065556,144.8053516,0.581238747,1.177559972,0.494760841,-3.377327919,-58.1308403,-47.94701385
2269.33891,1.009544849,-1.756124496,0.302671462,11.02515316,1020.511963,26.1889782,259.134232,331.9315186,143.1631146,0.358578384,-0.914348066,0.141375288,-4.626594067,-59.83499146,-44.84777832
2269.46183,0.295784026,-0.63538897,0.044109128,11.04309845,1020.514404,27.34450912,255.7374287,331.3878697,147.8982798,-0.374765337,-0.78209573,-0.053490721,-5.375597954,-59.62390137,-45.39133453
2269.580793,0.06109637,-0.179472059,-0.08508309,10.98926353,1020.496582,24.76194382,249.8586985,335.9139731,155.0760437,0.040928468,-0.840433359,0.306919783,-7.036078453,-59.67525101,-46.03546906
2269.703581,0.201472551,-0.536003888,-0.479164839,11.00720882,1020.491455,27.23524666,252.3614165,336.2387776,160.1993686,1.328326941,0.032493092,-0.040051684,-8.484333992,-59.93770218,-43.25829697
2269.826388,0.862137675,-1.775905013,-0.664756835,10.98926353,1020.49292,26.81475258,257.8414958,344.4876346,160.2261019,0.082161866,-0.813249826,1.679533958,-11.63490963,-60.59557343,-39.52617264
2269.949319,-0.322861046,-0.608854175,0.069453605,11.02515316,1020.485107,25.32812309,259.1043841,342.6234762,150.7842943,-0.062918626,1.68824327,-1.536366105,-14.75574207,-60.59720993,-39.87693405
2270.072268,0.354213476,-0.450127542,-0.140519664,10.98926353,1020.461182,26.87766075,261.0551135,335.1898433,139.5764866,-0.682336032,0.727657735,-0.138095558,-11.53684521,-60.64271927,-41.77283096
2270.194915,0.355425715,-0.481969357,-0.254767209,11.04309845,1020.450439,28.01332855,258.9574667,329.2150738,139.7309719,0.512516439,-0.212158442,-0.849142671,-8.232848167,-60.15914154,-43.18883896
2270.313849,0.848075807,-1.709326744,-0.252838999,10.98926353,1020.435059,27.34450912,266.9574283,329.5146835,139.269497,1.191798568,-0.47421962,-0.378471017,-6.086569786,-60.10331345,-40.52064514
2270.438704,0.517864466,-0.881680608,0.014621811,11.06104279,1020.433105,26.66575813,265.6787622,323.3049624,141.2883096,-0.902858377,-0.658700943,-0.779198647,-2.840329885,-59.81939316,-39.42718124
